8/05,Aurelijus PUKELIS,Basketball 3x3 - Men,77,3
7/30,Auriane MALLO-BRETON,Fencing - Women's Epee Team,154,2
7/27,Auriane MALLO-BRETON,Fencing - Women's Epee Individual,148,2
8/04,Austen Jewell SMITH,Shooting - Skeet Women,226,3
8/05,Austen Jewell SMITH,Shooting - Skeet Mixed Team,229,2
8/03,Austin KRAJICEK,Tennis - Men's Doubles,290,2
8/03,Avalon WASTENEYS,Rowing - Women's Eight,201,2
8/09,AVERILL,Volleyball - Men,298,3
8/10,Ayoub GHADFA DRISSI EL AISSAOUI,Boxing - Men's +92kg,87,2
8/01,AZUMA Sera,Fencing - Women's Foil Team,155,3
7/27,Baasankhuu BAVUUDORJ,Judo - Women -48 kg,168,2
8/10,Bakhodir JALOLOV,Boxing - Men's +92kg,87,1
8/10,Balint KOPASZ,Canoe Sprint - Men's Kayak Single 1000m,102,3
8/10,Bam ADEBAYO,Basketball - Men,75,1
7/29,BAN Hyojin,Shooting - 10m Air Rifle Women,221,1
7/29,Baptiste ADDIS,Archery - Men's Team,3,2
7/31,Barbara MATIC,Judo - Women -70 kg,172,1
8/10,Bashir ABDI,Athletics - Men's Marathon,29,2
8/09,Bayanda WALAZA,Athletics - Men's 4 x 100m Relay,43,2
8/10,Bayapo NDORI,Athletics - Men's 4 x 400m Relay,44,2
8/10,Bea ORTIZ,Water Polo - Women,301,1
8/09,Beatrice CHEBET,Trampoline - Women,294,1
8/05,Beatrice CHEBET,Athletics - Women's 5000m,50,1
8/03,Beatriz Iasmin SOARES FERREIRA,Boxing - Women's 60kg,91,3
8/02,Beatriz SOUZA,Judo - Women +78 kg,174,1
8/03,Beatriz SOUZA,Judo - Mixed Team,182,3
8/03,Becky MOODY,Equestrian - Dressage Team,144,3
8/11,Ben HALLOCK,Water Polo - Men,300,3
8/03,Ben JEFFERIES,Athletics - 4 x 400m Relay Mixed,68,3
8/02,Ben MAHER,Equestrian - Jumping Team,146,1
8/09,Benat TURRIENTES,Football - Men,160,1
8/04,Bence HALASZ,Athletics - Men's Hammer Throw,39,2
8/09,Bence NADAS,Canoe Sprint - Men's Kayak Double 500m,103,2
8/08,Benjamin BOUCHOUARI,Football - Men,160,3
8/02,Benjamin PROUD,Swimming - Men's 50m Freestyle,257,2
8/09,Benjamin RICHARDSON,Athletics - Men's 4 x 100m Relay,43,2
8/08,Benjamin THOMAS,Cycling Track - Men's Omnium,126,1
8/10,Benson KIPRUTO,Athletics - Men's Marathon,29,3
7/31,Bente PAULIS,Rowing - Women's Quadruple Sculls,199,2
8/10,Bente ROGGE,Water Polo - Women,301,3
8/01,Benthe BOONSTRA,Rowing - Women's Four,193,1
8/10,BERGMANN,Volleyball - Women,299,3
8/02,Berihu AREGAWI,Athletics - Men's 10.000m,28,2
7/29,Berkim TUMER,Archery - Men's Team,3,3
7/31,Beth POTTER,Triathlon - Women's Individual,295,3
8/05,Beth POTTER,Triathlon - Mixed Relay,297,3
8/09,Bianca WILLIAMS,Athletics - Women's 4 x 100m Relay,66,2
8/09,Bibiane SCHULZE SOLANO,Football - Women,161,3
8/10,BIENIEK,Volleyball - Men,298,2
8/10,Bilal COULIBALY,Basketball - Men,75,2
8/08,Bilal EL KHANNOUSS,Football - Men,160,3
8/08,Billal BENNAMA,Boxing - Men's 51kg,81,2
7/30,Blake PIERONI,Swimming - Men's 4 x 200m Freestyle Relay,272,2
8/07,Blanca TOLEDANO LAUT,Artistic Swimming - Team,21,3
7/30,Bobby FINKE,Swimming - Men's 800m Freestyle,261,2
8/04,Bobby FINKE,Swimming - Men's 1500m Freestyle,262,1
8/10,Bogdan BOGDANOVIC,Basketball - Men,75,3
7/31,Bolade APITHY,Fencing - Men's Sabre Team,159,3
8/10,BOLADZ,Volleyball - Men,298,2
8/09,Boryana KALEYN,Rhythmic Gymnastics - Individual All-Around,187,2
8/11,BOSETTI,Volleyball - Women,299,1
8/08,Bozhidar Dimitrov ANDREEV,Weightlifting - Men's 73kg,308,3
8/09,Bradley LOCKO,Football - Men,160,2
8/09,Bradley NKOANA,Athletics - Men's 4 x 100m Relay,43,2
8/04,Brady ELLISON,Archery - Men's Individual,1,2
8/02,Brady ELLISON,Archery - Mixed Team,5,3
8/09,Brandie WILKERSON,Beach Volleyball - Women,80,2
8/11,Breanna STEWART,Basketball - Women,76,1
8/10,Bregje de BROUWER,Artistic Swimming - Duet,20,3
8/09,Brendon RODNEY,Athletics - Men's 4 x 100m Relay,43,1
8/01,Brian Daniel PINTADO,Athletics - Men's 20km Race Walk,42,1
